Kalenderår;Kod;Benämning;Omfattning;Enhet;Nivå inom studieordning;Kvinnor;Män;Total
"2019";"MM404U";"Gymnasieskolans matematik med akademiska ögon - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,025";"0,025"
"2021";"MM404U";"Gymnasieskolans matematik med akademiska ögon - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2018";"MM406U";"Utvalda teman i matematik för lärare - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,125";"0,25"
"2019";"MM407U";"Geometri och programmering för lärare i matematik - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,1";"0,1"
"2020";"MM407U";"Geometri och programmering för lärare i matematik - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,05";"0,05"
"2017";"MM5005";"Den klassiska matematikens historiska utveckling";"7,5";"HP";"Grundnivå";"0,5";"1,625";"2,125"
"2018";"MM5005";"Den klassiska matematikens historiska utveckling";"7,5";"HP";"Grundnivå";"0,125";"0,5";"0,625"
"2019";"MM5005";"Den klassiska matematikens historiska utveckling";"7,5";"HP";"Grundnivå";"0,375";"0,875";"1,25"
"2020";"MM5005";"Den klassiska matematikens historiska utveckling";"7,5";"HP";"Grundnivå";"0,625";"1,25";"1,875"
"2021";"MM5005";"Den klassiska matematikens historiska utveckling";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2017";"MM5010";"Matematik II - Analys, del A";"7,5";"HP";"Grundnivå";"5,75";"12,25";"18,0"
"2018";"MM5010";"Matematik II - Analys, del A";"7,5";"HP";"Grundnivå";"5,875";"10,75";"16,625"
"2019";"MM5010";"Matematik II - Analys, del A";"7,5";"HP";"Grundnivå";"3,0";"8,25";"11,25"
"2020";"MM5010";"Matematik II - Analys, del A";"7,5";"HP";"Grundnivå";"8,0";"13,5";"21,5"
"2021";"MM5010";"Matematik II - Analys, del A";"7,5";"HP";"Grundnivå";"4,25";"10,25";"14,5"
"2017";"MM5011";"Matematik II - Analys, del B";"7,5";"HP";"Grundnivå";"3,5";"8,0";"11,5"
"2018";"MM5011";"Matematik II - Analys, del B";"7,5";"HP";"Grundnivå";"2,5";"8,75";"11,25"
"2019";"MM5011";"Matematik II - Analys, del B";"7,5";"HP";"Grundnivå";"3,0";"5,875";"8,875"
"2020";"MM5011";"Matematik II - Analys, del B";"7,5";"HP";"Grundnivå";"3,25";"5,625";"8,875"
"2021";"MM5011";"Matematik II - Analys, del B";"7,5";"HP";"Grundnivå";"5,25";"7,875";"13,125"
"2017";"MM5012";"Matematik II - Linjär algebra";"7,5";"HP";"Grundnivå";"8,125";"15,75";"23,875"
"2018";"MM5012";"Matematik II - Linjär algebra";"7,5";"HP";"Grundnivå";"3,875";"8,375";"12,25"
"2019";"MM5012";"Matematik II - Linjär algebra";"7,5";"HP";"Grundnivå";"6,375";"14,5";"20,875"
"2020";"MM5012";"Matematik II - Linjär algebra";"7,5";"HP";"Grundnivå";"8,125";"13,0";"21,125"
"2021";"MM5012";"Matematik II - Linjär algebra";"7,5";"HP";"Grundnivå";"4,75";"9,0";"13,75"
"2017";"MM5013";"Matematik II - Algebra och kombinatorik";"7,5";"HP";"Grundnivå";"4,75";"8,625";"13,375"
"2018";"MM5013";"Matematik II - Algebra och kombinatorik";"7,5";"HP";"Grundnivå";"1,875";"6,875";"8,75"
"2019";"MM5013";"Matematik II - Algebra och kombinatorik";"7,5";"HP";"Grundnivå";"4,625";"8,375";"13,0"
"2020";"MM5013";"Matematik II - Algebra och kombinatorik";"7,5";"HP";"Grundnivå";"5,25";"13,125";"18,375"
"2021";"MM5013";"Matematik II - Algebra och kombinatorik";"7,5";"HP";"Grundnivå";"5,625";"8,75";"14,375"
"2017";"MM5014";"Numerisk analys";"7,5";"HP";"Grundnivå";"0,55";"2,1";"2,65"
"2018";"MM5014";"Numerisk analys";"7,5";"HP";"Grundnivå";"0,075";"0,175";"0,25"
"2019";"MM5014";"Numerisk analys";"7,5";"HP";"Grundnivå";"1,025";"3,175";"4,2"
"2020";"MM5014";"Numerisk analys";"7,5";"HP";"Grundnivå";"2,225";"6,275";"8,5"
"2021";"MM5014";"Numerisk analys";"7,5";"HP";"Grundnivå";"0,075";"0,425";"0,5"
"2021";"MM5015";"Matematik, vetenskap och samhälle";"7,5";"HP";"Grundnivå";"1,75";"3,125";"4,875"
"2021";"MM5016";"Numerisk analys I";"7,5";"HP";"Grundnivå";"1,75";"4,85";"6,6"
"2017";"MM5020";"Matematik III - Abstrakt algebra";"7,5";"HP";"Grundnivå";"1,0";"3,125";"4,125"
"2018";"MM5020";"Matematik III - Abstrakt algebra";"7,5";"HP";"Grundnivå";"0,75";"2,75";"3,5"
"2019";"MM5020";"Matematik III - Abstrakt algebra";"7,5";"HP";"Grundnivå";"0,5";"1,625";"2,125"
"2020";"MM5020";"Matematik III - Abstrakt algebra";"7,5";"HP";"Grundnivå";"1,5";"3,375";"4,875"
"2021";"MM5020";"Matematik III - Abstrakt algebra";"7,5";"HP";"Grundnivå";"0,875";"4,875";"5,75"
"2017";"MM5021";"Matematik III - Analysens grunder";"7,5";"HP";"Grundnivå";"0,5";"1,375";"1,875"
"2018";"MM5021";"Matematik III - Analysens grunder";"7,5";"HP";"Grundnivå";"0,375";"3,5";"3,875"
"2019";"MM5021";"Matematik III - Analysens grunder";"7,5";"HP";"Grundnivå";"0,5";"3,5";"4,0"
"2020";"MM5021";"Matematik III - Analysens grunder";"7,5";"HP";"Grundnivå";"0,875";"1,25";"2,125"
"2021";"MM5021";"Matematik III - Analysens grunder";"7,5";"HP";"Grundnivå";"1,5";"5,25";"6,75"
"2017";"MM5022";"Matematik III - Komplex analys";"7,5";"HP";"Grundnivå";"1,625";"4,5";"6,125"
"2018";"MM5022";"Matematik III - Komplex analys";"7,5";"HP";"Grundnivå";"1,5";"4,5";"6,0"
"2019";"MM5022";"Matematik III - Komplex analys";"7,5";"HP";"Grundnivå";"0,5";"3,0";"3,5"
"2020";"MM5022";"Matematik III - Komplex analys";"7,5";"HP";"Grundnivå";"2,125";"4,375";"6,5"
"2021";"MM5022";"Matematik III - Komplex analys";"7,5";"HP";"Grundnivå";"0,375";"1,0";"1,375"
"2017";"MM5023";"Matematik III - Kombinatorik";"7,5";"HP";"Grundnivå";"1,625";"3,875";"5,5"
"2018";"MM5023";"Matematik III - Kombinatorik";"7,5";"HP";"Grundnivå";"1,5";"2,875";"4,375"
"2019";"MM5023";"Matematik III - Kombinatorik";"7,5";"HP";"Grundnivå";"1,0";"2,875";"3,875"
"2020";"MM5023";"Matematik III - Kombinatorik";"7,5";"HP";"Grundnivå";"0,125";"1,25";"1,375"
"2021";"MM5023";"Matematik III - Kombinatorik";"7,5";"HP";"Grundnivå";"1,75";"3,375";"5,125"
"2017";"MM5024";"Matematik III - Logik";"7,5";"HP";"Grundnivå";"1,875";"3,375";"5,25"
"2018";"MM5024";"Matematik III - Logik";"7,5";"HP";"Grundnivå";"1,125";"3,375";"4,5"
"2019";"MM5024";"Matematik III - Logik";"7,5";"HP";"Grundnivå";"1,25";"4,0";"5,25"
"2020";"MM5024";"Matematik III - Logik";"7,5";"HP";"Grundnivå";"1,0";"2,625";"3,625"
"2021";"MM5024";"Matematik III - Logik";"7,5";"HP";"Grundnivå";"1,0";"2,75";"3,75"
"2017";"MM5025";"Matematisk modellering I";"7,5";"HP";"Grundnivå";"0";"0,68333";"0,68333"
"2018";"MM5025";"Matematisk modellering I";"7,5";"HP";"Grundnivå";"0,5";"1,0";"1,5"
"2019";"MM5025";"Matematisk modellering I";"7,5";"HP";"Grundnivå";"0,125";"0,875";"1,0"
"2020";"MM5025";"Matematisk modellering I";"7,5";"HP";"Grundnivå";"0,5";"0,5";"1,0"
"2021";"MM5026";"Matematik III - Ordinära differentialekvationer";"7,5";"HP";"Grundnivå";"1,125";"1,90833";"3,03333"
"2017";"MM508U";"Matematik II - Linjär algebra - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0";"0,25";"0,25"
"2018";"MM508U";"Matematik II - Linjär algebra - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0";"0,125"
"2019";"MM508U";"Matematik II - Linjär algebra - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,125";"0,25"
"2020";"MM508U";"Matematik II - Linjär algebra - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,125";"0,25"
"2021";"MM508U";"Matematik II - Linjär algebra - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,25";"0,125";"0,375"
"2017";"MM509U";"Matematik II - Linjär algebra - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,5";"0,5"
"2018";"MM509U";"Matematik II - Linjär algebra - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2019";"MM509U";"Matematik II - Linjär algebra - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,375";"0,375"
"2020";"MM509U";"Matematik II - Linjär algebra - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,25";"0,375"
"2021";"MM509U";"Matematik II - Linjär algebra - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,25";"0";"0,25"
"2017";"MM510U";"Matematik II - Algebra och kombinatorik - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0";"0,125"
"2018";"MM510U";"Matematik II - Algebra och kombinatorik - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2020";"MM510U";"Matematik II - Algebra och kombinatorik - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0";"0,375";"0,375"
"2017";"MM511U";"Matematik II - Algebra och kombinatorik - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,375";"0,375"
"2018";"MM511U";"Matematik II - Algebra och kombinatorik - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2019";"MM511U";"Matematik II - Algebra och kombinatorik - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2020";"MM511U";"Matematik II - Algebra och kombinatorik - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2021";"MM511U";"Matematik II - Algebra och kombinatorik - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,375";"0,125";"0,5"
"2018";"MM512U";"Matematik II - Analys, del A - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,125";"0,25"
"2020";"MM512U";"Matematik II - Analys, del A - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2021";"MM512U";"Matematik II - Analys, del A - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,125";"0,25"
"2017";"MM513U";"Matematik II - Analys, del A - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2019";"MM513U";"Matematik II - Analys, del A - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2020";"MM513U";"Matematik II - Analys, del A - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,25";"0,375";"0,625"
"2021";"MM513U";"Matematik II - Analys, del A - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,25";"0,125";"0,375"
"2021";"MM514U";"Matematik II - Analys, del B - kurs inom ULV-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2017";"MM515U";"Matematik II - Analys, del B - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,125";"0";"0,125"
"2020";"MM515U";"Matematik II - Analys, del B - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,125";"0,25"
"2021";"MM515U";"Matematik II - Analys, del B - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0,125";"0,375";"0,5"
"2017";"MM516U";"Den klassiska matematikens historiska utveckling - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2019";"MM516U";"Den klassiska matematikens historiska utveckling - kurs inom VAL-projektet";"7,5";"HP";"Grundnivå";"0";"0,125";"0,125"
"2017";"MM6001";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"0,725";"1,225";"1,95"
"2018";"MM6001";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"0,05";"1,0";"1,05"
"2019";"MM6001";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"0,25";"0,275";"0,525"
"2020";"MM6001";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"0,225";"0";"0,225"
"2017";"MM6004";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"1,275";"5,575";"6,85"
"2018";"MM6004";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"1,975";"5,725";"7,7"
"2019";"MM6004";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"1,275";"5,925";"7,2"
"2020";"MM6004";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"3,475";"5,775";"9,25"
"2021";"MM6004";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"2,55";"5,925";"8,475"
"2018";"MM6005";"Matematik, självständigt arbete för lärare";"15,0";"HP";"Grundnivå";"0,025";"0,075";"0,1"
"2019";"MM6005";"Matematik, självständigt arbete för lärare";"15,0";"HP";"Grundnivå";"1,2";"1,425";"2,625"
"2020";"MM6005";"Matematik, självständigt arbete för lärare";"15,0";"HP";"Grundnivå";"0,825";"1,375";"2,2"
"2021";"MM6005";"Matematik, självständigt arbete för lärare";"15,0";"HP";"Grundnivå";"1,05";"1,45";"2,5"
"2021";"MM6010";"Matematik, självständigt arbete";"15,0";"HP";"Grundnivå";"0,5";"1,25";"1,75"
"2017";"MM7004";"Ordinära differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,125";"1,125";"1,25"
"2018";"MM7004";"Ordinära differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,375";"1,0";"1,375"
"2019";"MM7004";"Ordinära differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,375";"1,5";"1,875"
"2020";"MM7004";"Ordinära differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,875";"0,75";"1,625"
"2017";"MM7005";"Linjär analys";"7,5";"HP";"Avancerad nivå";"0,25";"0,625";"0,875"
"2018";"MM7005";"Linjär analys";"7,5";"HP";"Avancerad nivå";"0,25";"0,625";"0,875"
"2019";"MM7005";"Linjär analys";"7,5";"HP";"Avancerad nivå";"0,125";"0";"0,125"
"2021";"MM7005";"Linjär analys";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2017";"MM7006";"Optimering";"7,5";"HP";"Avancerad nivå";"0,5";"1,375";"1,875"
"2018";"MM7006";"Optimering";"7,5";"HP";"Avancerad nivå";"1,625";"3,5";"5,125"
"2019";"MM7006";"Optimering";"7,5";"HP";"Avancerad nivå";"0,875";"1,75";"2,625"
"2020";"MM7006";"Optimering";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2017";"MM7010";"Dynamiska system och optimal kontrollteori";"7,5";"HP";"Avancerad nivå";"0,25";"1,0";"1,25"
"2018";"MM7010";"Dynamiska system och optimal kontrollteori";"7,5";"HP";"Avancerad nivå";"0,25";"0,75";"1,0"
"2019";"MM7010";"Dynamiska system och optimal kontrollteori";"7,5";"HP";"Avancerad nivå";"0,625";"0,875";"1,5"
"2021";"MM7010";"Dynamiska system och optimal kontrollteori";"7,5";"HP";"Avancerad nivå";"0";"0,375";"0,375"
"2017";"MM7011";"Matematisk ekonomi";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2018";"MM7011";"Matematisk ekonomi";"7,5";"HP";"Avancerad nivå";"0,25";"0";"0,25"
"2017";"MM7012";"Matematikens utveckling II";"7,5";"HP";"Avancerad nivå";"0,125";"0";"0,125"
"2017";"MM7016";"Matematiska dynamiska modeller i biologi";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2018";"MM7016";"Matematiska dynamiska modeller i biologi";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2017";"MM7018";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"0,5";"2,0";"2,5"
"2018";"MM7018";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"0,375";"1,625";"2,0"
"2019";"MM7018";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"0,625";"1,5";"2,125"
"2020";"MM7018";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"1,0";"1,375";"2,375"
"2017";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"0,5";"3,05";"3,55"
"2018";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"0,625";"2,05";"2,675"
"2019";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"1,225";"3,275";"4,5"
"2020";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"0,9";"3,925";"4,825"
"2021";"MM7020";"Matematisk kommunikation";"7,5";"HP";"Avancerad nivå";"1,075";"3,4";"4,475"
"2017";"MM7021";"Elementär differentialgeometri";"7,5";"HP";"Avancerad nivå";"0";"0,5";"0,5"
"2018";"MM7021";"Elementär differentialgeometri";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2020";"MM7021";"Elementär differentialgeometri";"7,5";"HP";"Avancerad nivå";"0,5";"1,25";"1,75"
"2018";"MM7022";"Logik II";"7,5";"HP";"Avancerad nivå";"0,375";"1,0";"1,375"
"2019";"MM7022";"Logik II";"7,5";"HP";"Avancerad nivå";"0";"1,125";"1,125"
"2020";"MM7022";"Logik II";"7,5";"HP";"Avancerad nivå";"0,125";"1,0";"1,125"
"2021";"MM7022";"Logik II";"7,5";"HP";"Avancerad nivå";"0";"0,625";"0,625"
"2019";"MM7023";"Teori för beräkningar och formella språk";"7,5";"HP";"Avancerad nivå";"0,125";"1,375";"1,5"
"2021";"MM7023";"Teori för beräkningar och formella språk";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2019";"MM7024";"Linjär algebra och inlärning från data";"7,5";"HP";"Avancerad nivå";"0";"1,875";"1,875"
"2020";"MM7024";"Linjär algebra och inlärning från data";"7,5";"HP";"Avancerad nivå";"0,875";"1,875";"2,75"
"2021";"MM7024";"Linjär algebra och inlärning från data";"7,5";"HP";"Avancerad nivå";"1,25";"1,125";"2,375"
"2020";"MM7025";"Datoralgebra";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2020";"MM7026";"Avancerad komplex analys";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2020";"MM7028";"Optimering";"7,5";"HP";"Avancerad nivå";"0";"0,75";"0,75"
"2021";"MM7028";"Optimering";"7,5";"HP";"Avancerad nivå";"0,25";"0";"0,25"
"2021";"MM7029";"Krypteringsmatematik";"7,5";"HP";"Avancerad nivå";"0,125";"1,33333";"1,45833"
"2021";"MM7041";"Topologi";"7,5";"HP";"Avancerad nivå";"1,0";"4,25";"5,25"
"2021";"MM7042";"Kommutativ algebra och algebraisk geometri";"7,5";"HP";"Avancerad nivå";"0,125";"2,25";"2,375"
"2020";"MM7043";"Galoisteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2021";"MM7043";"Galoisteori";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2020";"MM705U";"Ordinära differentialekvationer- kurs inom VAL-projektet";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2017";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"0,375";"2,25";"2,625"
"2018";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"0,25";"1,625";"1,875"
"2019";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"1,0";"4,25";"5,25"
"2020";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"0";"0,5";"0,5"
"2021";"MM8002";"Topologi";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2017";"MM8003";"Fourieranalys";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2018";"MM8003";"Fourieranalys";"7,5";"HP";"Avancerad nivå";"0";"0,625";"0,625"
"2017";"MM8004";"Algebra IV";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2017";"MM8005";"Galoisteori";"7,5";"HP";"Avancerad nivå";"0,125";"2,125";"2,25"
"2019";"MM8005";"Galoisteori";"7,5";"HP";"Avancerad nivå";"0,375";"1,625";"2,0"
"2017";"MM8008";"Partiella differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,375";"0,625";"1,0"
"2018";"MM8008";"Partiella differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,125";"0,25";"0,375"
"2020";"MM8008";"Partiella differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,5";"0,875";"1,375"
"2021";"MM8008";"Partiella differentialekvationer";"7,5";"HP";"Avancerad nivå";"0,125";"0,875";"1,0"
"2018";"MM8011";"Kombinatorik III";"7,5";"HP";"Avancerad nivå";"0";"0,75";"0,75"
"2020";"MM8011";"Kombinatorik III";"7,5";"HP";"Avancerad nivå";"0,125";"0,375";"0,5"
"2018";"MM8012";"Talteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,625";"0,75"
"2020";"MM8012";"Talteori";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2019";"MM8014";"Kaotiska dynamiska system";"7,5";"HP";"Avancerad nivå";"0,125";"0,125";"0,25"
"2021";"MM8014";"Kaotiska dynamiska system";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2018";"MM8015";"Optimering II";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2019";"MM8015";"Optimering II";"7,5";"HP";"Avancerad nivå";"0";"0,25";"0,25"
"2018";"MM8016";"Matematisk kontrollteori";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2020";"MM8016";"Matematisk kontrollteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,25";"0,375"
"2017";"MM8018";"Enumerativ kombinatorik";"7,5";"HP";"Avancerad nivå";"0,375";"0,125";"0,5"
"2019";"MM8018";"Enumerativ kombinatorik";"7,5";"HP";"Avancerad nivå";"0,125";"0,625";"0,75"
"2021";"MM8018";"Enumerativ kombinatorik";"7,5";"HP";"Avancerad nivå";"0,125";"0,5";"0,625"
"2017";"MM8019";"Algebraisk geometri och kommutativ algebra";"7,5";"HP";"Avancerad nivå";"0,5";"3,125";"3,625"
"2018";"MM8019";"Algebraisk geometri och kommutativ algebra";"7,5";"HP";"Avancerad nivå";"0,75";"3,625";"4,375"
"2019";"MM8019";"Algebraisk geometri och kommutativ algebra";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2020";"MM8019";"Algebraisk geometri och kommutativ algebra";"7,5";"HP";"Avancerad nivå";"0,5";"0,625";"1,125"
"2017";"MM8020";"Homologisk algebra och algebraisk topologi";"7,5";"HP";"Avancerad nivå";"0";"0,875";"0,875"
"2018";"MM8021";"Representationsteori för ändliga grupper";"7,5";"HP";"Avancerad nivå";"0,25";"1,875";"2,125"
"2020";"MM8021";"Representationsteori för ändliga grupper";"7,5";"HP";"Avancerad nivå";"0,125";"1,0";"1,125"
"2017";"MM8022";"Differentialgeometri";"7,5";"HP";"Avancerad nivå";"0,125";"0,625";"0,75"
"2019";"MM8022";"Differentialgeometri";"7,5";"HP";"Avancerad nivå";"0";"0,125";"0,125"
"2021";"MM8022";"Differentialgeometri";"7,5";"HP";"Avancerad nivå";"0,125";"0,125";"0,25"
"2017";"MM8025";"Avancerad linjär algebra";"7,5";"HP";"Avancerad nivå";"0,25";"1,0";"1,25"
"2018";"MM8027";"Mängdteori och forcing";"7,5";"HP";"Avancerad nivå";"0";"0,625";"0,625"
"2017";"MM8028";"Metamatematik och bevisteori";"7,5";"HP";"Avancerad nivå";"0,125";"0,75";"0,875"
"2017";"MM8031";"Valda ämnen i matematik - algebra";"7,5";"HP";"Avancerad nivå";"0,125";"2,625";"2,75"
